DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME
03/28/2022,80,6.55,14,22,95,10:12pm - 5:51am
03/29/2022,86,6.98,22,23,93,10:00pm - 5:51am
03/30/2022,87,6.57,20,20,96,10:08pm - 5:29am
03/31/2022,91,7.63,30,21,92,9:41pm - 5:56am
11/1/2021,88,8.1,20,13,84,10:41pm - 7:54am
11/2/2021,83,7.95,12,18,90,10:40pm - 7:55am
11/3/2021,81,7.1,13,22,93,11:03pm - 7:16am
11/4/2021,86,7.07,19,17,97,10:55pm - 6:56am
11/5/2021,81,9.4,17,15,66,10:14pm - 9:01am
11/6/2021,77,8.32,14,13,21,11:21 - 8:45am
11/7/2021,86,7.62,20,15,80,11:18pm - 6:57am
11/8/2021,81,6.77,16,17,89,11:50pm - 7:40am
11/9/2021,88,7.17,24,19,98,11:14pm - 7:16am
11/10/2021,84,7.27,21,17,96,11:16pm - 7:29am
11/11/2021,85,6.87,19,21,97,10:47pm - 6:32am
11/12/2021,85,7.47,18,16,74,10:21pm - 6:47am
11/13/2021,74,6.1,16,21,43,11:34pm - 6:51am
11/14/2021,88,6.98,23,22,91,10:54pm - 6:48am
11/15/2021,87,7.32,21,22,96,10:45pm - 6:57am
11/16/2021,80,7.37,17,11,55,11-38pm - 8:23am
11/17/2021,78,6.95,15,14,67,11:50pm - 7:50am
11/18/2021,87,7.23,24,19,98,10:42pm - 6:51am
11/19/2021,83,6.83,20,20,75,10:49pm - 6:37am
11/20/2021,86,7.93,24,17,63,10:53pm - 7:59am
11/21/2021,88,7.55,19,16,95,11:13pm - 8:07am
11/22/2021,87,8.35,14,19,94,10:12pm - 7:32am
11/23/2021,86,8.25,20,14,72,11:53pm - 9:15am
11/24/2021,77,6.43,18,13,55,11:36pm - 7:13am
11/25/2021,81,6.85,20,17,51,12:50am - 8:27am
11/26/2021,87,8.75,22,19,56,12:53am - 10:35am
11/27/2021,86,7.88,24,19,66,12:51am - 10:04am
11/28/2021,83,6.22,22,22,81,12:02am - 6:59am
11/29/2021,89,7.73,18,21,81,11:00pm - 7:38am
11/30/2021,78,6.8,12,13,74,11:16pm - 7:06am
